0.33,2.403547950304194,0,0.33,-1.28,-4.5,-7.720000000000001,-10.71
0.9350000000000001,2.037695511170829,1.110310865368756,0.9350000000000001,-0.675,-3.895,-7.115,-10.105
1.485,1.756361204356012,0,1.485,-0.1250000000000002,-3.345,-6.565000000000001,-9.555
2.035,2.145362551287908,0.9754309389109797,2.035,0.425,-2.795,-6.015000000000001,-9.004999999999999
2.585,2.207689324098105,0,2.585,0.9749999999999999,-2.245,-5.465000000000001,-8.454999999999998
3.135,2.238546653185364,1.111558994320867,3.135,1.525,-1.695,-4.915000000000001,-7.904999999999999
3.685,2.270968611243858,0,3.685,2.075,-1.145,-4.365,-7.354999999999999
4.234999999999999,2.309803536428847,1.145193036918176,4.234999999999999,2.624999999999999,-0.5950000000000006,-3.815000000000001,-6.805
4.795,2.052572934205268,0,4.795,3.185,-0.03500000000000014,-3.255000000000001,-6.244999999999999
5.365,1.984111562778314,1.009171124245896,5.365,3.755,0.5350000000000001,-2.685,-5.674999999999999
5.935,1.95513127147468,0,5.935,4.325,1.105,-2.115,-5.104999999999999
6.52,2.013527101440016,0.9921645932286742,6.52,4.909999999999999,1.69,-1.530000000000001,-4.52
7.12,1.958926655076971,0,7.12,5.51,2.29,-0.9300000000000006,-3.919999999999999
7.745,1.945511708421542,0.9761095908746287,7.745,6.135,2.915,-0.3050000000000006,-3.294999999999999
8.395,1.773083310122403,0,8.395,6.784999999999999,3.565,0.3449999999999989,-2.645
9.045,1.710845917738485,0.8709823069652218,9.045,7.435,4.215,0.9949999999999992,-1.994999999999999
9.719999999999999,1.761358603584587,0,9.719999999999999,8.109999999999999,4.889999999999999,1.669999999999998,-1.32
10.495,1.978932404082142,0.9350727519166826,10.495,8.885000000000002,5.665000000000001,2.445,-0.5449999999999982
11.345,1.279226529626475,0,11.345,9.734999999999999,6.514999999999999,3.294999999999998,0.3049999999999997
12.303,0.9761662384402844,0.5638481920166899,12.303,10.693,7.473000000000001,4.253,1.263000000000002
